what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514517249564
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514517249665
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514517253144
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514517259108
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514517339357
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514517455093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514517525665
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514517576172
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514517624602
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514517700158
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514517738140
error,log,,,"Internal Error",1514517741869
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514517766661
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514518020564
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514518021737
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514518023539
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514518027976
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514526157321
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1514526161414
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1514526161560
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1514526162231
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1514526162423
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1514526183350
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1514526183950
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1514526185090
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1514526185253
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1514526185843
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1514526186792
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1514526192410
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1514526192759
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1514526206219
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1514526219633
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514526219651
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514526220821
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514526220899
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514526222108
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1514526227275
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1514526227417
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1514526228878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514526246034
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514526255099
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1514526255167
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1514526255207
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1514526413660
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514526419793
